"IDENTIFIANT";"N° FINESS/RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
;"020012258";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020012480";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020012506";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020012522";;3;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020012548";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020012639";;4;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020012779";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020012928";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020012936";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020012969";;5;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020012993";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020013033";;4;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020013058";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020013108";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020013348";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020013819";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020013918";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014049";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020014130";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020014247";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020014296";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020014445";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014452";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014502";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020014544";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014551";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020014569";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020014700";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020014874";;4;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020014890";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014916";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020014932";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014940";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020014957";;3;;;;;;;;;;;;;;;;;;;;;;;;;
;"020015269";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020015301";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020015392";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020015731";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020015764";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020015939";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020016143";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020016234";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020016291";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020016564";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020016887";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020017513";;;;;;;;;;;;;;;7;;;;;;;;;;;;
;"020017695";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020018099";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020018107";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020018149";;;;;;;;;;;;;;;7;;;;;;;;;;;;
;"030000012";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"030000061";;3;;;;;;;;;;;;;22;;;;;;;;;;;;
;"030000079";;7;;;;;;;;;;;;;27;;;;;;;;;;;;
;"030000087";;3;;;;;;;;;;;;;16;;;;;;;;;;;;
;"030000160";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030001267";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030002208";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030004238";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030004279";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030004428";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"030005649";;3;;;;;;;;;;;;;;;;;;;;;;;;;
;"030006753";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030006902";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030007207";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030007496";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030008312";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030008320";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030008338";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030780084";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030780142";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780290";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780548";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"030780605";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030780662";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030780720";;3;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780753";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780761";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780928";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780936";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780944";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"030780951";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"030780985";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"030780993";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030781009";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030781116";;2;;;;;;;;;;;;;5;;;;;;;;;;;;
;"030781405";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030781413";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030782569";;3;;;;;;;;;;;;;;;;;;;;;;;;;
;"030782585";;5;;;;;;;;;;;;;;;;;;;;;;;;;
;"030782601";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030782627";;4;;;;;;;;;;;;;;;;;;;;;;;;;
;"030783013";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030783195";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030783229";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030783351";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030783583";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"030783880";;5;;;;;;;;;;;;;;;;;;;;;;;;;
;"030784029";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030784136";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030784169";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030785042";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"030785216";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030785315";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"030785430";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"030785539";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
